!EXCLAMATION-POINT	ˌɛkskləˈmeɪʃənˌpɔɪnt
"CLOSE-QUOTE	ˈkloʊzˈkwoʊt
"DOUBLE-QUOTE	ˈdʌbəlˈkwoʊt
CELO	ˈsɛloʊ, ˈsiːloʊ, ˈsiːˈiːˈɛˈloʊ
CELONA	tʃɛˈloʊnə
CELOSIA	tʃɛˈloʊsiːə
CELS	ˈsɛlz
CELSIUS	ˈsɛlsiːəs
CELSO	ˈsɛlsoʊ
CELT	ˈsɛlt, ˈkɛlt
CELTIC	ˈsɛltɪk, ˈkɛltɪk
CELTICS	ˈsɛltɪks
CELTICS'	ˈsɛltɪks
CELTS	ˈsɛlts, ˈkɛlts
CEMENT	səˈmɛnt, sɪˈmɛnt
CEMENTED	sɪˈmɛntɪd
CEMENTING	sɪˈmɛntɪŋ
CEMENTOS	sɛˈmɛntoʊs
CEMETERIES	ˈsɛməˌtɛriːz
CEMETERY	ˈsɛməˌtɛri, ˈsɛmɪˌtɛri
CEMEX	ˈkɛˌmɛks
CEMP	ˈsɛmp
CENCALL	ˈsɛnˌsɛl
CENCI	ˈtʃɛntʃi
CENCOR	ˈsɛnˌkɔr
CENDEJAS	seɪnˈdeɪjɑːz
CENERGY	ˈsɛnɝdʒi
CENICEROS	seɪniːˈsɛroʊz
CENITH	ˈsɛnɪθ
CENITH'S	ˈsɛnɪθs
CENOZOIC	ˌsiːnəˈzoʊɪk
CENSER	ˈsɛnsɝ
CENSOR	ˈsɛnsɝ
CENSORED	ˈsɛnsɝd
CENSORING	ˈsɛnsɝɪŋ
CENSORS	ˈsɛnsɝz
CENSORSHIP	ˈsɛnsɝˌʃɪp
CENSURE	ˈsɛnʃɝ
CENSURED	ˈsɛnʃɝd
CENSUS	ˈsɛnsəs
CENSUSES	ˈsɛnsəsɪz
CENT	ˈsɛnt
CENTANNI	tʃɛnˈtɑːni, sɛnˈtɑːni
CENTAUR	ˈsɛnˌtɔr
CENTAUR'S	ˈsɛnˌtɔrz
CENTAURI	sɛnˈtɑːri
CENTAURS	ˈsɛnˌtɔrz
CENTAVOS	sɛnˈtɑːˌvoʊs
CENTEL	ˈsɛnˌtɛl
CENTEL'S	ˈsɛnˌtɛlz
CENTENARIAN	ˌsɛntəˈnɛriːən
CENTENARIANS	ˌsɛntəˈnɛriːənz
CENTENARY	ˈsɛntəˌnɛri
CENTENNIAL	sɛnˈtɛniːəl
CENTENNIAL'S	sɛnˈtɛniːəlz
CENTENO	tʃɛnˈtɛnoʊ, sɛnˈtɛnoʊ
CENTER	ˈsɛntɝ, ˈsɛnɝ
CENTER'S	ˈsɛntɝz, ˈsɛnɝz
CENTERBANC	ˈsɛntɝbæŋk
CENTERBANK	ˈsɛntɝˌbæŋk
CENTERED	ˈsɛntɝd
CENTERFIELDER	ˈsɛntɝˌfiːldɝ
CENTERFOLD	ˈsɛntɝˌfoʊld
CENTERING	ˈsɛntɝɪŋ
CENTERIOR	ˌsɛnˈtɪriːɝ
CENTERPIECE	ˈsɛntɝˌpiːs
CENTERRE	ˈsɛntɝ
CENTERRE'S	ˈsɛntɝz
CENTERS	ˈsɛntɝz, ˈsɛnɝz
CENTERS'	ˈsɛntɝz, ˈsɛnɝz
CENTERVILLE	ˈsɛntɝvɪl
CENTEX	ˈsɛnˌtɛks
CENTIGRADE	ˈsɛntəˌgreɪd
CENTIGRAM	ˈsɛntəˌgræm
CENTIME	ˈsɛnˌtaɪm
CENTIMES	ˈsɛnˌtaɪmz
CENTIMETER	ˈsɛntəˌmiːtɝ
CENTIMETERS	ˈsɛntəˌmiːtɝz
CENTIMETRE	ˈsɛntəˌmiːtɝ
CENTIMETRES	ˈsɛntəˌmiːtɝz
CENTIPEDE	ˈsɛntɪˌpiːd
CENTNER	ˈsɛntnɝ
CENTOCOR	ˈsɛntəˌkɔr
CENTOCOR'S	ˈsɛntəˌkɔrz
CENTOFANTI	tʃɛntoʊˈfɑːnti
CENTOLA	tʃɛnˈtoʊlə
CENTOXIN	ˌsɛnˈtɑːksɪn
CENTRAL	ˈsɛntrəl
CENTRAL'S	ˈsɛntrəlz
CENTRALE	sɛnˈtrɑːl
CENTRALIA	sɛnˈtreɪliːə
CENTRALISM	ˈsɛntrəˌlɪzəm
CENTRALISTS	ˈsɛntrəlɪsts
CENTRALITY	sɛnˈtælɪti
CENTRALIZATION	ˌsɛntrəlɪˈzeɪʃən
CENTRALIZE	ˈsɛntrəˌlaɪz
CENTRALIZED	ˈsɛntrəˌlaɪzd
CENTRALIZING	ˈsɛntrəˌlaɪzɪŋ
CENTRALLY	ˈsɛntrəli
CENTRAM	ˈsɛnˌtræm
CENTRE	ˈsɛntɝ
CENTRELLA	ˌsɛnˈtrɛlə
CENTRES	ˈsɛntɝz
CENTREX	ˈsɛntrəks
CENTRIFUGAL	ˈsɛntrɪˌfjuːgəl
CENTRIFUGE	ˈsɛntrəˌfjuːdʒ
CENTRIFUGES	ˈsɛntrəˌfjuːdʒɪz
CENTRIST	ˈsɛntrɪst
CENTRISTS	ˈsɛntrɪsts
CENTRO	ˈsɛntroʊ
CENTROMIN	ˈsɛntrəmɪn
CENTRONICS	ˌsɛnˈtrɑːnɪks
CENTRUST	ˈsɛnˌtrəst
CENTRUST'S	ˈsɛnˌtrəsts
CENTS	ˈsɛnts, ˈsɛns
CENTUM	ˈkɛntəm
CENTURI	sɛnˈtʊri
CENTURIES	ˈsɛntʃɝiːz
CENTURION	sɛnˈtʊriːən
CENTURY	ˈsɛntʃɝi
CENTURY'S	ˈsɛntʃɝiːz
CENVILL	ˈsɛnvɪl
CEO	ˈsiːˌiːˈoʊ
CEP	ˈsɛp
CEPEDA	seɪˈpeɪdə
CEPERO	seɪˈpɛroʊ
CEPHALON	ˈsɛfəˌlɑːn
CEPHALOPOD	ˈsɛfələˌpɑːd
CEPHALOSPORIN	ˌsɛfəˈlɔˌspɔrɪn
CEPHAS	ˈsɛfəz
CEPHUS	ˈsɛfəs
CERA	ˈsɛrə
CERACEOUS	sɝˈeɪʃəs
CERADYNE	ˈsɛrəˌdaɪn
CERAMI	tʃɝˈɑːmi
CERAMIC	sɝˈæmɪk
CERAMICS	sɝˈæmɪks
CERANKOSKY	ˌsɛrəŋˈkɔˌskiː
CERASOLI	tʃɝɑːˈsoʊli
CERAVOLO	tʃɝɑːˈvoʊloʊ
CERBONE	ˈtʃɝːboʊn
CERCONE	tʃɝˈkoʊni
CERDA	ˈtʃɛrdə
CEREAL	ˈsɪriːəl
CEREALS	ˈsɪriːəlz
CEREBRAL	ˈsɛrəbrəl, sɝˈiːbrəl
CEREBRALLY	sɝˈiːbrəli
CEREDASE	ˈsɛrəˌdeɪz
CEREGHINO	tʃɝɛˈgiːnoʊ
CERELIA	tʃɝˈɛliːə
CEREMONIAL	ˌsɛrəˈmoʊniːəl
CEREMONIES	ˈsɛrəˌmoʊniːz
CEREMONY	ˈsɛrəˌmoʊni
CERENO	sɝˈeɪnoʊ
CERES	ˈsɪriːz
CEREZO	ˌsɛˈreɪzoʊ, sɝˈeɪzoʊ
CERF	ˈsɝːf
CERIDIAN	sɝˈɪdiːən
CERINO	tʃɝˈiːnoʊ
CERIO	ˈtʃɛriːoʊ
CERISE	sɝˈiːs
CERMAK	ˈtʃɝːmək
CERN	ˈsɝːn
CERNA	ˈtʃɛrnə
CERNEY	ˈsɝːni
CERNIGLIA	ˌtʃɝːˈniːgliːɑː
CERNUDA	sɝˈnuːdə
CERNUDA'S	sɝˈnuːdəz
CERNY	ˈsɝːni
CERONE	tʃɝˈoʊni
CERRA	ˈsɛrə
CERRATO	tʃɝˈɑːtoʊ
CERRETA	tʃɝˈɛtə
CERRITO	tʃɝˈiːtoʊ
CERRITOS	sɛˈriːtoʊs
CERRO	ˈsɛroʊ
CERRONE	tʃɝˈoʊni
CERRUTI	tʃɝˈuːti, sɝˈuːti
CERSKA	ˈkɝːskə, ˈsɝːskə
CERTAIN	ˈsɝːtən
CERTAINLY	ˈsɝːtənli
CERTAINTEED	ˈsɝːtənˌtiːd
CERTAINTIES	ˈsɝːtəntiːz
CERTAINTY	ˈsɝːtənti
CERTIFICATE	sɝˈtɪfɪkət
CERTIFICATES	sɝˈtɪfɪkəts
CERTIFICATION	ˌsɝːtəfəˈkeɪʃən
CERTIFICATIONS	ˌsɝːtəfəˈkeɪʃənz
CERTIFIED	ˈsɝːtəˌfaɪd
CERTIFIED'S	ˈsɝːtəˌfaɪdz
CERTIFIES	ˈsɝːtəˌfaɪz
CERTIFY	ˈsɝːtəˌfaɪ
CERTIFYING	ˈsɝːtəˌfaɪɪŋ
CERTITUDE	ˈsɝːtəˌtuːd
CERTO	ˈtʃɛrtoʊ
CERTRON	ˈsɝːtrɑːn
CERULLI	tʃɝˈuːli
CERULLO	tʃɝˈuːloʊ
CERUS	ˈsɛrəs
CERUTTI	tʃɝˈuːti
CERVANTES	sɛrˈvɑːntɛs
CERVANTEZ	sɛrˈvɑːntɛz
CERVECERIA	ˌsɝːvəˈsɪriːə
CERVENKA	sɛrˈveɪŋkə
CERVENY	tʃɝˈviːni
CERVERA	tʃɝˈvɛrə
CERVESATO	ˌsɛrvɛˈsɑːˌtoʊ
CERVEZA	ˌsɝːˈveɪzə, ˌsɛrˈveɪzə
CERVI	ˈtʃɛrvi
CERVICAL	ˈsɝːvəkəl, ˈsɝːvɪkəl
CERVINI	tʃɝˈviːni
CERVIX	ˈsɝːvɪks
CERVONE	tʃɝˈvoʊni
CERYL	ˈsɛrəl
CESAR	ˈsiːzɝ
CESARE	tʃeɪˈzɑːreɪ
CESARIO	tʃɛˈsɑːriːoʊ
CESARO	tʃɛˈsɑːroʊ
CESARZ	ˈseɪsɑːrz
CESENA	tʃɛˈsɛnə
CESIUM	ˈsiːziːəm
CESPEDES	seɪˈspeɪdɛs
CESSATION	ˌsɛˈseɪʃən
CESSNA	ˈsɛsnə, ˈsɛznə
CESSNA'S	ˈsɛsnəz, ˈsɛznəz
CESSPOOL	ˈsɛˌspuːl
CESTARO	tʃɛˈstɑːroʊ
CETA	ˈsɛtə, ˈsiːˈiːˈtiːˈeɪ
CETACEAN	sɪˈteɪʃən, siːˈteɪʃən
CETEC	ˈsiːˌtɛk
CETERA	ˈsɛtɝə
CETUS	ˈsiːtəs
CETUS'S	ˈsiːtəsɪz
CEVALLOS	seɪˈvɑːloʊz
CEVAXS	ˈsɛvæksɪz
CEYLON	sɪˈlɑːn, siːˈlɑːn
CEZANNE	ˌsɛˈzæn
CEZANNE'S	ˌsɛˈzænz
CFO	ˈsiːˌɛˈfoʊ
CHA	ˈtʃɑː
CHA-CHAS	ˈtʃɑːˌtʃɑːz
CHABLIS	ʃəˈbliː
CHABON	ˈtʃeɪbən
CHABOT	ʃəˈboʊ
CHACABUCO	ˌtʃækəˈbjuːkoʊ
CHACE	ˈtʃeɪs
CHACHERE	ʃəˈʃɪr
CHACHI	ˈtʃɑːtʃi
CHACIN	ˈʃeɪsɪn
CHACKO	ˈtʃækoʊ
CHACON	ˈtʃækən
CHAD	ˈtʃæd
CHAD'S	ˈtʃædz
CHADBOURNE	ʃədˈbʊrn
CHADD	ˈtʃæd
CHADDERDON	tʃəˈdɝːdən
CHADDOCK	ˈtʃædək
CHADEL	ˈtʃædəl
CHADIAN	ˈtʃeɪdiːən
CHADICK	ˈtʃædɪk
CHADLI	ˈtʃædli
CHADRON	ˈtʃædrən
CHADWELL	ˈtʃæˌdwɛl
CHADWICK	ˈtʃædwɪk
CHADWICK'S	ˈtʃædwɪks
CHAE	ˈtʃaɪ
CHAEBOL	ˈtʃeɪbəl
CHAFE	ˈtʃeɪf
CHAFED	ˈtʃeɪft
CHAFEE	ˈtʃæfi, ˈtʃeɪfi
CHAFEE'S	ˈtʃeɪfiːz, ˈtʃæfiːz
CHAFES	ˈtʃeɪfs
CHAFETE	tʃəˈfiːt
CHAFF	ˈtʃæf
CHAFFEE	ˈtʃæfi
CHAFFIN	ˈtʃæfɪn
CHAFFINS	ˈtʃæfɪnz
CHAFFY	ˈtʃæfi
CHAFIN	ˈtʃæfɪn
CHAFING	ˈtʃeɪfɪŋ
CHAGALL	tʃəˈgɑːl, tʃəˈgæl
CHAGNON	ˈtʃægnən
CHAGRIN	ʃəˈgrɪn
CHAGRINED	ʃəˈgrɪnd
CHAI	ˈtʃaɪ
CHAIDEZ	tʃɑːˈiːdɛz
CHAIKEN	ˈtʃeɪkən
CHAIKIN	ˈtʃeɪkɪn
CHAIM	ˈhaɪɪm
CHAIN	ˈtʃeɪn
CHAIN'S	ˈtʃeɪnz
CHAINED	ˈtʃeɪnd
CHAINING	ˈtʃeɪnɪŋ
CHAINS	ˈtʃeɪnz
CHAINS'	ˈtʃeɪnz
CHAINSAW	ˈtʃeɪnˌsɔ
CHAINSAWS	ˈtʃeɪnˌsɔz
CHAIR	ˈtʃɛr
CHAIRED	ˈtʃɛrd
CHAIRES	ˈʃɛrz
CHAIREZ	tʃɑːˈɪrɛz
CHAIRING	ˈtʃɛrɪŋ
CHAIRMAN	ˈtʃɛrmən
CHAIRMAN'S	ˈtʃɛrmənz
CHAIRMANSHIP	ˈtʃɛrmənˌʃɪp
CHAIRMANSHIPS	ˈtʃɛrmənˌʃɪps
CHAIRMEN	ˈtʃɛrmɪn
CHAIRPEOPLE	ˈtʃɛrˌpiːpəl
CHAIRPERSON	ˈtʃɛrˌpɝːsən
CHAIRS	ˈtʃɛrz
CHAIRWOMAN	ˈtʃɛrˌwʊmən
CHAIRWOMEN	ˈtʃɛrˌwɪmɛn
CHAISE	ˈʃeɪz
CHAISSON	ˈtʃeɪsən
CHAIT	ˈtʃeɪt
CHAJET	ˈtʃædʒət
CHALABI	tʃəˈlɑːbi
CHALASANI	ˌtʃæləˈsæni
CHALCEDONY	ˈtʃælsəˌdoʊni
CHALET	ˈʃæˌleɪ, ʃəˈleɪ
CHALETS	ʃəˈleɪz, ˈʃæˌleɪz
CHALFANT	ˈtʃæfənt, ˈtʃæfɑːnt
CHALFIN	ˈtʃælfɪn
CHALICE	ˈtʃælɪs
CHALIFOUX	ˈʃælɪfuː
CHALK	ˈtʃɑːk, ˈtʃɔk
CHALKED	ˈtʃɔkt
CHALKER	ˈtʃɔkɝ
CHALKING	ˈtʃɔkɪŋ
CHALKLEY	ˈtʃælkli
CHALKS	ˈtʃɔks
CHALLENDER	tʃəˈlɛndɝ
CHALLENGE	ˈtʃæləndʒ
CHALLENGED	ˈtʃæləndʒd
CHALLENGER	ˈtʃæləndʒɝ, ˈtʃælɪndʒɝ
CHALLENGER'S	ˈtʃæləndʒɝz
CHALLENGERS	ˈtʃæləndʒɝz
CHALLENGERY	ˈtʃæləndʒɝi
CHALLENGES	ˈtʃæləndʒɪz
CHALLENGING	ˈtʃæləndʒɪŋ
CHALLIS	ˈʃæli
CHALMERS	ˈtʃɑːmɝz
CHALMETTE	ʃælˈmɛt
CHALOUPKA	tʃəˈluːpkə
CHALOUX	ʃəˈluː
CHALSTY	ˈtʃælsti
CHALUPA	tʃəˈluːpə
CHAM	ˈtʃæm
CHAMBER	ˈtʃeɪmbɝ
CHAMBER'S	ˈtʃeɪmbɝz
CHAMBERED	ˈtʃeɪmbɝd
CHAMBERLAIN	ˈtʃeɪmbɝlən, ˈtʃeɪmbɝlɪn
CHAMBERLAIN'S	ˈtʃeɪmbɝlənz
CHAMBERLAND	ˈtʃæmbɝlənd
CHAMBERLAYNE	ˈtʃeɪmbɝˌleɪn
CHAMBERLIN	ˈtʃeɪmbɝlɪn
CHAMBERS	ˈtʃeɪmbɝz
CHAMBERS'	ˈtʃeɪmbɝz
CHAMBERS'S	ˈtʃeɪmbɝzɪz
CHAMBLEE	ˈtʃæmbli
CHAMBLESS	ʃəmˈbliːs
CHAMBLIN	ˈtʃæmblɪn
CHAMBLISS	ˈtʃæmblɪs
CHAMBON	ˈtʃæmbən
CHAMELEON	kəˈmiːliːən
CHAMLEE	ˈtʃæmli
CHAMLONG	ˈtʃæmˌlɔŋ
CHAMNESS	ˈtʃæmnɪs
CHAMONIX	ˈʃæmoʊˌniːks, ˈtʃæmənɪks
CHAMORRO	tʃəˈmɔroʊ, tʃoʊˈmɔroʊ
CHAMORRO'S	tʃəˈmɔroʊz
CHAMP	ˈtʃæmp
CHAMPA	ˈkɑːmpə
CHAMPAGNE	ʃæmˈpeɪn
CHAMPAGNES	ʃæmˈpeɪnz
CHAMPAIGN	tʃæmˈpeɪn
CHAMPAIGN-URBANA	tʃæmˈpeɪnɝˈbænə
CHAMPEAU	ʃæmˈpoʊ
CHAMPINE	ˈtʃæmˌpaɪn
CHAMPION	ˈtʃæmpiːən
CHAMPION'S	ˈtʃæmpiːənz
CHAMPIONED	ˈtʃæmpiːənd
CHAMPIONING	ˈtʃæmpiːənɪŋ
CHAMPIONS	ˈtʃæmpiːənz
CHAMPIONSHIP	ˈtʃæmpiːənˌʃɪp
CHAMPIONSHIPS	ˈtʃæmpiːənˌʃɪps
CHAMPLAIN	ʃæmˈpleɪn
CHAMPLIN	ˈtʃæmplɪn
CHAMPNEY	ˈtʃæmpni
CHAMPOUX	ʃæmˈpuː
CHAMPS	ˈtʃæmps
CHAN	ˈtʃæn
CHAN'S	ˈtʃænz
CHANA	ˈtʃænə
CHANCE	ˈtʃæns
CHANCELLOR	ˈtʃænsəlɝ, ˈtʃænslɝ
CHANCELLOR'S	ˈtʃænsəlɝz
CHANCELLORS	ˈtʃænsəlɝz
CHANCERY	ˈtʃænsɝi
CHANCES	ˈtʃænsəz, ˈtʃænsɪz
CHANCEY	ˈtʃænsi
CHANCY	ˈtʃænsi
CHAND	ˈtʃænd
CHANDA	ˈtʃændə
CHANDELIER	ʃændəˈlɪr
CHANDELIERS	ˌʃændəˈlɪz
CHANDLER	ˈtʃændlɝ
CHANDLER'S	ˈtʃændlɝz
CHANDLEY	ˈtʃændli
CHANDON	ˈtʃændɪn, ˌʃænˈdɑːn
CHANDRA	ˈtʃændrə
CHANDRIKA	tʃɑːnˈdriːkə, ʃɑːnˈdriːkə
CHANDROSS	tʃænˈdrɔs
CHANEL	ʃəˈnɛl
CHANEY	ˈtʃeɪni
CHANG	ˈtʃæŋ
CHANG-HSIN	ˈtʃɑːŋˈʃɪn
CHANG-MING	ˈtʃɑːŋˈmɪŋ, ˈtʃæŋˈmɪŋ
CHANGCHUN	ˈtʃɑːŋˈtʃʊn
CHANGE	ˈtʃeɪndʒ
CHANGEABLE	ˈtʃeɪndʒəbəl
CHANGED	ˈtʃeɪndʒd
CHANGEOVER	ˈtʃeɪnˌdʒoʊvɝ
CHANGEOVERS	ˈtʃeɪnˌdʒoʊvɝz
CHANGER	ˈtʃeɪndʒɝ
CHANGERS	ˈtʃeɪndʒɝz
CHANGES	ˈtʃeɪndʒəz, ˈtʃeɪndʒɪz
CHANGING	ˈtʃeɪndʒɪŋ
CHANGSHO	ˈtʃæŋˈʃoʊ
CHANIN	ˈtʃænɪn
CHANISHIVA	ʃɑːnɪˈʃiːvə
CHANLEY	ˈtʃænli
CHANNEL	ˈtʃænəl
CHANNEL'S	ˈtʃænəlz
CHANNELED	ˈtʃænəld
CHANNELING	ˈtʃænəlɪŋ, ˈtʃænlɪŋ
CHANNELL	ˈtʃænəl
CHANNELL'S	ʃəˈnɛlz
CHANNELS	ˈtʃænəlz
CHANNING	ˈtʃænɪŋ
CHANNON	ˈtʃænən
CHANOS	ˈtʃɑːnoʊs
CHANT	ˈtʃænt
CHANTAL	ˈtʃæntəl
CHANTED	ˈtʃæntɪd
CHANTILLY	ˌʃænˈtɪli
CHANTING	ˈtʃæntɪŋ
CHANTS	ˈtʃænts
CHANUKAH	ˈhɑːnəkə
CHANY	ˈtʃeɪni
CHAO	ˈtʃaʊ
CHAOS	ˈkeɪɑːs
CHAOTIC	keɪˈɑːtɪk
CHAP	ˈtʃæp
CHAPA	ˈtʃɑːpə
CHAPARRAL	ˌʃæpɝˈæl
CHAPARRO	kɑːˈpɑːroʊ
CHAPAS	ˈtʃɑːpəs
CHAPDELAINE	ˈʃæpdɪleɪn
CHAPEK	ˈtʃæpɪk
CHAPEL	ˈtʃæpəl
CHAPEL'S	ˈtʃæpəlz
CHAPELL	ʃəˈpɛl
CHAPELLE	ʃəˈpɛl
CHAPERONE	ˈʃæpɝˌoʊn
CHAPERONES	ˈʃæpɝˌoʊnz
CHAPERONING	ˈʃæpɝˌoʊnɪŋ
CHAPIN	ʃəˈpæn
CHAPLAIN	ˈtʃæplən
CHAPLAINS	ˈtʃæplənz
CHAPLAN	ˈtʃæplən
CHAPLIN	ˈtʃæplən, ˈtʃæplɪn
CHAPLIN'S	ˈtʃæplɪnz
CHAPMAN	ˈtʃæpmən
CHAPMAN'S	ˈtʃæpmənz
CHAPNICK	ˈtʃæpnɪk
CHAPOTON	ˈtʃæpoʊˌtɑːn
CHAPP	ˈtʃæp
CHAPPAQUIDDICK	ˌtʃæpəˈkwɪdɪk
CHAPPEL	ˈtʃæpəl
CHAPPELEAR	ˈʃæpɪlɝ
CHAPPELL	ˈtʃæpəl
CHAPPELLE	ʃəˈpɛl
CHAPPIE	ˈtʃæpi
CHAPPLE	ˈtʃæpəl
CHAPPUIS	ˈʃæpuːɪz
CHAPS	ˈtʃæps
CHAPTER	ˈtʃæptɝ
CHAPTERS	ˈtʃæptɝz
CHAPUT	ˈtʃæpət
CHAR	ˈtʃɑːr
CHARA	ˈtʃɑːrə
CHARACTER	ˈkɛrɪktɝ
CHARACTER'S	ˈkɛrɪktɝz
CHARACTERISTIC	ˌkɛrɪktɝˈɪstɪk
CHARACTERISTICALLY	ˌkɛrɪktɝˈɪstɪkli
CHARACTERISTICS	ˌkɛrɪktɝˈɪstɪks
CHARACTERIZATION	ˌkɛrɪktɝɪˈzeɪʃən
CHARACTERIZATIONS	ˌkɛrɪktɝɪˈzeɪʃənz
CHARACTERIZE	ˈkɛrɪktɝˌaɪz
CHARACTERIZED	ˈkɛrɪktɝˌaɪzd
CHARACTERIZES	ˈkɛrɪktɝˌaɪzəz
CHARACTERIZING	ˈkɛrɪktɝˌaɪzɪŋ
CHARACTERS	ˈkærɪktɝz, ˈkɛrɪktɝz
CHARACTERS'	ˈtʃɛrɪktɝz
CHARADE	ʃɝˈeɪd
CHARADES	ʃɝˈeɪdz
CHARALAMBOS	ˌtʃɑːrəˈlɑːmboʊs
CHARASSE	ˈtʃɛræs
CHARBONEAU	ˈʃɑːrbənoʊ
CHARBONNEAU	ˈʃɑːrbəˌnoʊ
CHARBONNET	ˈʃɑːrbənɪt, ˈʃɑːrbəneɪ
CHARCOAL	ˈtʃɑːrˌkoʊl
CHARCOALS	ˈtʃɑːrˌkoʊlz
CHARD	ˈtʃɑːrd
CHARDONNAY	tʃɑːrˈdɑːneɪ
CHARDONNAYS	tʃɑːrˈdɑːneɪz
CHAREN	ˈtʃɑːrən
CHAREN'S	ˈtʃɑːrənz
CHAREST	ʃɑːˈrɛst
CHARETTE	ʃɝˈɛt
CHARGE	ˈtʃɑːrdʒ
CHARGEABLE	ˈtʃɑːrdʒəbəl
CHARGED	ˈtʃɑːrdʒd
CHARGER	ˈtʃɑːrdʒɝ
CHARGERS	ˈtʃɑːrdʒɝz
CHARGES	ˈtʃɑːrdʒɪz
CHARGEURS	ˌtʃɑːrˈdʒʊrz
CHARGING	ˈtʃɑːrdʒɪŋ
CHARGIT	ˈtʃɑːrdʒɪt
CHARGOIS	ʃɑːrˈgwɑː
CHARIOT	ˈtʃɛriːət
CHARIOTS	ˈtʃɛriːəts
CHARISMA	kɝˈɪzmə
CHARISMATIC	kɛrɪzˈmætɪk
CHARISMATICS	ˌkɛrɪzˈmætɪks
CHARISSA	kɑːˈriːsə
CHARITA	kɑːˈriːtə
CHARITABLE	ˈtʃærətəbəl, ˈtʃɛrətəbəl
CHARITABLY	ˈtʃɛrɪtəbli
CHARITIES	ˈtʃɛrətiːz, ˈtʃɛrɪtiːz
CHARITIES'	ˈtʃɛrɪtiːz
CHARITY	ˈtʃɛrɪti
CHARITY'S	ˈtʃɛrətiːz
CHARLA	ˈtʃɑːrlə
CHARLAND	ˈtʃɑːrlənd
CHARLATAN	ˈʃɑːrlətən
CHARLATANS	ˈʃɑːrlətənz
CHARLAYNE	ʃɑːrˈleɪn
CHARLE	ˈtʃɑːrl
CHARLEBOIS	ˈʃɑːrlɪbwɑː
CHARLEEN	tʃɑːrˈliːn
CHARLEMAGNE	ˈʃɑːrləˌmeɪn
CHARLENE	ʃɑːrˈliːn
CHARLES	ˈtʃɑːrlz, ˈtʃɑːrəlz
CHARLES'	ˈtʃɑːrlz, ˈtʃɑːrəlz
CHARLES'S	ˈtʃɑːrlzɪz
CHARLESTON	ˈtʃɑːrlstən, ˈtʃɑːrəlstən
CHARLESTON'S	ˈtʃɑːrlstənz, ˈtʃɑːrəlstənz
CHARLESTOWN	ˈtʃɑːrlˌstaʊn, ˈtʃɑːrəlˌstaʊn
CHARLESWORTH	ˈtʃɑːrəlswɝθ, ˈtʃɑːrəlzwɝθ
CHARLET	ˈtʃɑːrlɪt
CHARLEVOIX	ˈʃɑːrləvwə
CHARLEY	ˈtʃɑːrli
CHARLEY'S	ˈtʃɑːrliːz
CHARLIE	ˈtʃɑːrli
CHARLIE'S	ˈtʃɑːrliːz
CHARLIER	ˈtʃɑːrliːɝ
CHARLINE	ʃɑːrˈliːn
CHARLOT	ˈtʃɑːrlət
CHARLOTTE	ˈʃɑːrlət
CHARLOTTE'S	ˈʃɑːrləts
CHARLOTTESVILLE	ˈʃɑːrlətsˌvɪl
CHARLOTTETOWN	ˈʃɑːrlətˌtaʊn
CHARLOTTEVILLE	ˈʃɑːrlətˌvɪl
CHARLS	ˈtʃɑːrlz
CHARLSON	ˈtʃɑːrlsən
CHARLTON	ˈtʃɑːrltən
CHARM	ˈtʃɑːrm
CHARMAIN	ʃɑːrˈmeɪn
CHARMAINE	ʃɑːrˈmeɪn
CHARMED	ˈtʃɑːrmd
CHARMER	ˈtʃɑːrmɝ
CHARMERS	ˈtʃɑːrmɝz
CHARMIAN	ˈtʃɑːrmiːən
CHARMING	ˈtʃɑːrmɪŋ
CHARMINGLY	ˈtʃɑːrmɪŋli
CHARMION	ˈtʃɑːrmiːən
CHARMS	ˈtʃɑːrmz
CHARNEY	ˈtʃɑːrni
CHARNLEY	ˈtʃɑːrnli
CHARNOCK	ˈtʃɑːrnək
CHARON	ˈkɛrən
CHARPENTIER	ˌʃɑːrpənˈtɪr
CHARPIE	ˈtʃɑːrpi
CHARRED	ˈtʃɑːrd
CHARREN	ˈtʃɛrən
CHARRETTE	ʃəˈrɛt
CHARRIER	ˈtʃæriːɝ
CHARRING	ˈtʃɑːrɪŋ
CHARRON	ˈtʃɛrən, ˈkɛrən
CHARRY	ˈtʃæri
CHART	ˈtʃɑːrt
CHARTED	ˈtʃɑːrtəd, ˈtʃɑːrtɪd
CHARTER	ˈtʃɑːrtɝ
CHARTER'S	ˈtʃɑːrtɝz
CHARTERED	ˈtʃɑːrtɝd
CHARTERHOUSE	ˈtʃɑːrtɝˌhaʊs
CHARTERING	ˈtʃɑːrtɝɪŋ
CHARTERS	ˈtʃɑːrtɝz
CHARTIER	ˈtʃɑːrtiːɝ
CHARTING	ˈtʃɑːrtɪŋ
CHARTIST	ˈtʃɑːrtɪst
CHARTISTS	ˈtʃɑːrtɪsts
CHARTRAND	ˈtʃɑːrtrənd
CHARTRES	ˈtʃɑːrtriːz
CHARTREUSE	ʃɑːrˈtruːz, ʃɑːrˈtruːs
CHARTS	ˈtʃɑːrts
CHARTWELL	ˈtʃɑːrˌtwɛl
CHARVAT	ˈtʃɑːrvət
CHARWOMAN	ˈtʃɑːrwʊmən
CHARWOMEN	ˈtʃɑːrwɪmən
CHARY	ˈtʃɑːri
CHARYL	ˈtʃærəl
